Generated by Rfunction:  Get.alv.mw41.edt.func2 
============> Radisonde_info:
RS_type:        RS92
RS_config:      2.02
RS_serialnum:   G3043154
RS_freq:        405.3
RS__windtype:   ccGPS
=============> Station_info:
Station:        ALVICE_RS92SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       53
SW version:     MW41 2.2.0
Start time:     2020-01-23 06:46:40
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	        xx         NA
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
  87.45  -9999.    271.90 4.67e+01      2.99     -0.15        580.0    957.91    261.96 1.70e+00     177.06      2.99  -9999.  -9999.  -9999.   -76.8749    39.0586  -9999.  -9999.  -9999.
  88.45  -9999.    271.91 4.71e+01      3.01     -0.11        586.1    957.18    262.06 1.71e+00     177.83      3.01  -9999.  -9999.  -9999.   -76.8749    39.0586  -9999.  -9999.  -9999.
  89.45  -9999.    271.92 4.74e+01      3.03     -0.07        592.2    956.44    262.15 1.73e+00     178.65      3.03  -9999.  -9999.  -9999.   -76.8749    39.0587  -9999.  -9999.  -9999.
  90.45  -9999.    271.93 4.77e+01      3.04     -0.02        598.8    955.66    262.24 1.74e+00     179.53      3.04  -9999.  -9999.  -9999.   -76.8750    39.0587  -9999.  -9999.  -9999.
  91.45  -9999.    271.95 4.77e+01      3.06      0.02        605.7    954.83    262.26 1.74e+00     180.46      3.06  -9999.  -9999.  -9999.   -76.8750    39.0587  -9999.  -9999.  -9999.
  92.45  -9999.    271.98 4.74e+01      3.07      0.08        612.7    953.99    262.21 1.74e+00     181.42      3.07  -9999.  -9999.  -9999.   -76.8749    39.0587  -9999.  -9999.  -9999.
  93.45  -9999.    272.03 4.67e+01      3.08      0.13        619.7    953.16    262.08 1.72e+00     182.41      3.09  -9999.  -9999.  -9999.   -76.8749    39.0588  -9999.  -9999.  -9999.
  94.45  -9999.    272.12 4.56e+01      3.09      0.18        626.3    952.36    261.85 1.69e+00     183.42      3.10  -9999.  -9999.  -9999.   -76.8749    39.0588  -9999.  -9999.  -9999.
  95.45  -9999.    272.23 4.38e+01      3.10      0.24        632.8    951.59    261.46 1.64e+00     184.42      3.11  -9999.  -9999.  -9999.   -76.8749    39.0588  -9999.  -9999.  -9999.
  96.45  -9999.    272.33 4.17e+01      3.11      0.29        639.3    950.81    260.95 1.58e+00     185.41      3.13  -9999.  -9999.  -9999.   -76.8749    39.0589  -9999.  -9999.  -9999.
  97.45  -9999.    272.41 3.97e+01      3.12      0.35        645.9    950.03    260.41 1.51e+00     186.37      3.14  -9999.  -9999.  -9999.   -76.8749    39.0589  -9999.  -9999.  -9999.
  98.45  -9999.    272.47 3.79e+01      3.13      0.40        652.4    949.25    259.89 1.45e+00     187.30      3.15  -9999.  -9999.  -9999.   -76.8749    39.0590  -9999.  -9999.  -9999.
  99.45  -9999.    272.52 3.63e+01      3.14      0.45        658.9    948.49    259.38 1.39e+00     188.17      3.17  -9999.  -9999.  -9999.   -76.8748    39.0590  -9999.  -9999.  -9999.
 100.45  -9999.    272.61 3.43e+01      3.15      0.50        665.3    947.73    258.78 1.33e+00     189.00      3.19  -9999.  -9999.  -9999.   -76.8748    39.0590  -9999.  -9999.  -9999.
 101.45  -9999.    272.80 3.11e+01      3.16      0.54        671.7    946.97    257.76 1.22e+00     189.77      3.21  -9999.  -9999.  -9999.   -76.8748    39.0590  -9999.  -9999.  -9999.
