Generated by Rfunction:  Get.mw41.edt.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   R3340183
RS_freq:        403
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2020-01-23 06:46:41
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
 127.81  -9999.    275.79     5.44      4.58      1.16        844.9    926.70    240.65     0.27     194.16      4.72 1  -9999.  -9999.   -76.8745    39.0599  -9999.  -9999.  -9999.
 128.81  -9999.    275.90     4.18      4.63      1.18        850.7    925.95    238.05     0.21     194.28      4.77 1  -9999.  -9999.   -76.8745    39.0599  -9999.  -9999.  -9999.
 129.81  -9999.    276.05     3.35      4.67      1.20        858.1    925.20    235.94     0.17     194.41      4.82 1  -9999.  -9999.   -76.8745    39.0600  -9999.  -9999.  -9999.
 130.81  -9999.    276.11     4.46      4.70      1.22        864.0    924.44    238.84     0.23     194.54      4.86 1  -9999.  -9999.   -76.8745    39.0600  -9999.  -9999.  -9999.
 131.81  -9999.    276.17     6.03      4.73      1.24        871.4    923.68    242.02     0.31     194.67      4.89 1  -9999.  -9999.   -76.8745    39.0601  -9999.  -9999.  -9999.
 132.81  -9999.    276.21     8.34      4.76      1.26        878.8    922.93    245.50     0.43     194.79      4.92 1  -9999.  -9999.   -76.8745    39.0601  -9999.  -9999.  -9999.
 133.81  -9999.    276.18    11.85      4.78      1.27        884.7    922.18    249.35     0.61     194.92      4.95 1  -9999.  -9999.   -76.8745    39.0602  -9999.  -9999.  -9999.
 134.81  -9999.    276.13    14.09      4.80      1.29        890.6    921.44    251.26     0.72     195.05      4.97 1  -9999.  -9999.   -76.8745    39.0602  -9999.  -9999.  -9999.
 135.81  -9999.    276.08    14.66      4.82      1.31        897.1    920.71    251.68     0.75     195.18      4.99 1  -9999.  -9999.   -76.8745    39.0603  -9999.  -9999.  -9999.
 136.81  -9999.    276.06    14.84      4.83      1.32        903.4    919.98    251.81     0.76     195.28      5.01 1  -9999.  -9999.   -76.8744    39.0603  -9999.  -9999.  -9999.
 137.81  -9999.    276.04    15.35      4.84      1.33        910.4    919.26    252.18     0.78     195.37      5.02 1  -9999.  -9999.   -76.8744    39.0603  -9999.  -9999.  -9999.
 138.81  -9999.    276.02    15.94      4.85      1.34        917.0    918.55    252.60     0.81     195.43      5.04 1  -9999.  -9999.   -76.8744    39.0604  -9999.  -9999.  -9999.
 139.81  -9999.    276.01    16.38      4.86      1.34        923.3    917.85    252.90     0.83     195.45      5.05 1  -9999.  -9999.   -76.8744    39.0604  -9999.  -9999.  -9999.
 140.81  -9999.    275.99    16.46      4.87      1.35        928.7    917.16    252.94     0.84     195.45      5.06 1  -9999.  -9999.   -76.8744    39.0604  -9999.  -9999.  -9999.
 141.81  -9999.    275.98    16.27      4.89      1.35        934.9    916.47    252.81     0.83     195.41      5.07 1  -9999.  -9999.   -76.8743    39.0605  -9999.  -9999.  -9999.
 142.81  -9999.    275.99    16.06      4.90      1.35        939.3    915.77    252.67     0.82     195.35      5.08 1  -9999.  -9999.   -76.8743    39.0605  -9999.  -9999.  -9999.
 143.81  -9999.    276.02    15.96      4.92      1.34        946.1    915.07    252.61     0.82     195.25      5.10 1  -9999.  -9999.   -76.8743    39.0606  -9999.  -9999.  -9999.
 144.81  -9999.    276.05    15.84      4.94      1.34        952.7    914.36    252.55     0.81     195.13      5.12 1  -9999.  -9999.   -76.8742    39.0606  -9999.  -9999.  -9999.
 145.81  -9999.    276.08    15.49      4.97      1.33        959.7    913.64    252.31     0.80     194.99      5.15 1  -9999.  -9999.   -76.8742    39.0607  -9999.  -9999.  -9999.
 146.81  -9999.    276.09    14.89      5.00      1.33        965.9    912.91    251.87     0.77     194.84      5.17 1  -9999.  -9999.   -76.8742    39.0607  -9999.  -9999.  -9999.
 147.81  -9999.    276.09    14.13      5.04      1.32        972.5    912.18    251.28     0.73     194.66      5.21 1  -9999.  -9999.   -76.8742    39.0608  -9999.  -9999.  -9999.
 148.81  -9999.    276.11    13.39      5.08      1.31        979.8    911.45    250.68     0.69     194.47      5.24 1  -9999.  -9999.   -76.8742    39.0608  -9999.  -9999.  -9999.
 149.81  -9999.    276.14    12.65      5.12      1.30        985.8    910.73    250.06     0.66     194.26      5.28 1  -9999.  -9999.   -76.8742    39.0608  -9999.  -9999.  -9999.
 150.81  -9999.    276.16    11.39      5.17      1.29        991.7    910.01    248.90     0.59     194.01      5.33 1  -9999.  -9999.   -76.8742    39.0609  -9999.  -9999.  -9999.
 151.81  -9999.    276.20    10.76      5.22      1.28        998.1    909.30    248.30     0.56     193.75      5.38 1  -9999.  -9999.   -76.8742    39.0609  -9999.  -9999.  -9999.
 152.81  -9999.    276.19    14.28      5.28      1.26       1003.9    908.59    251.48     0.74     193.46      5.43 1  -9999.  -9999.   -76.8742    39.0610  -9999.  -9999.  -9999.
 153.81  -9999.    276.13    20.91      5.35      1.25       1010.7    907.88    255.87     1.09     193.16      5.49 1  -9999.  -9999.   -76.8742    39.0610  -9999.  -9999.  -9999.
 154.81  -9999.    276.06    24.50      5.41      1.24       1017.4    907.17    257.71     1.27     192.86      5.55 1  -9999.  -9999.   -76.8741    39.0611  -9999.  -9999.  -9999.
 155.81  -9999.    276.02    24.62      5.49      1.22       1023.3    906.46    257.74     1.27     192.56      5.62 1  -9999.  -9999.   -76.8741    39.0611  -9999.  -9999.  -9999.
 156.81  -9999.    276.01    24.09      5.56      1.21       1029.3    905.74    257.46     1.24     192.26      5.69 1  -9999.  -9999.   -76.8741    39.0612  -9999.  -9999.  -9999.
 157.81  -9999.    276.01    23.68      5.64      1.20       1036.2    905.03    257.26     1.22     191.98      5.76 1  -9999.  -9999.   -76.8741    39.0612  -9999.  -9999.  -9999.
 158.81  -9999.    276.02    23.19      5.72      1.19       1042.4    904.30    257.01     1.20     191.72      5.84 1  -9999.  -9999.   -76.8741    39.0613  -9999.  -9999.  -9999.
 159.81  -9999.    276.03    22.67      5.80      1.18       1048.5    903.58    256.76     1.17     191.46      5.92 1  -9999.  -9999.   -76.8741    39.0613  -9999.  -9999.  -9999.
 160.81  -9999.    276.03    22.28      5.88      1.17       1055.4    902.85    256.55     1.16     191.21      6.00 1  -9999.  -9999.   -76.8741    39.0614  -9999.  -9999.  -9999.
 161.81  -9999.    276.01    22.01      5.97      1.16       1062.4    902.12    256.38     1.14     190.97      6.08 1  -9999.  -9999.   -76.8741    39.0614  -9999.  -9999.  -9999.
 162.81  -9999.    275.99    21.75      6.05      1.15       1069.1    901.39    256.22     1.13     190.73      6.15 1  -9999.  -9999.   -76.8741    39.0615  -9999.  -9999.  -9999.
 163.81  -9999.    275.97    21.45      6.13      1.13       1076.4    900.66    256.04     1.11     190.49      6.23 1  -9999.  -9999.   -76.8740    39.0615  -9999.  -9999.  -9999.
 164.81  -9999.    275.95    21.21      6.21      1.12       1082.0    899.94    255.89     1.10     190.26      6.31 1  -9999.  -9999.   -76.8740    39.0616  -9999.  -9999.  -9999.
 165.81  -9999.    275.95    21.14      6.28      1.11       1087.9    899.23    255.85     1.09     190.04      6.38 1  -9999.  -9999.   -76.8740    39.0616  -9999.  -9999.  -9999.
 166.81  -9999.    275.96    21.10      6.36      1.10       1093.2    898.51    255.84     1.09     189.84      6.45 1  -9999.  -9999.   -76.8739    39.0617  -9999.  -9999.  -9999.
 167.81  -9999.    275.96    20.14      6.43      1.09       1100.9    897.80    255.28     1.04     189.66      6.52 1  -9999.  -9999.   -76.8739    39.0618  -9999.  -9999.  -9999.
 168.81  -9999.    275.98    17.00      6.50      1.09       1107.6    897.08    253.31     0.88     189.49      6.59 1  -9999.  -9999.   -76.8739    39.0618  -9999.  -9999.  -9999.
 169.81  -9999.    276.03    13.72      6.57      1.08       1115.0    896.37    250.89     0.72     189.34      6.66 1  -9999.  -9999.   -76.8739    39.0619  -9999.  -9999.  -9999.
 170.81  -9999.    276.09    11.89      6.63      1.07       1120.1    895.65    249.32     0.62     189.21      6.72 1  -9999.  -9999.   -76.8739    39.0619  -9999.  -9999.  -9999.
 171.81  -9999.    276.14    12.03      6.69      1.07       1126.8    894.94    249.49     0.63     189.09      6.77 1  -9999.  -9999.   -76.8739    39.0620  -9999.  -9999.  -9999.
 172.81  -9999.    276.15    12.96      6.74      1.07       1132.8    894.23    250.34     0.68     188.98      6.83 1  -9999.  -9999.   -76.8739    39.0621  -9999.  -9999.  -9999.
 173.81  -9999.    276.14    12.59      6.79      1.06       1139.3    893.52    250.00     0.66     188.89      6.88 1  -9999.  -9999.   -76.8739    39.0621  -9999.  -9999.  -9999.
 174.81  -9999.    276.11    11.40      6.84      1.06       1146.0    892.81    248.87     0.60     188.80      6.92 1  -9999.  -9999.   -76.8739    39.0622  -9999.  -9999.  -9999.
 175.81  -9999.    276.08    10.92      6.88      1.06       1153.0    892.11    248.36     0.57     188.74      6.96 1  -9999.  -9999.   -76.8739    39.0623  -9999.  -9999.  -9999.
 176.81  -9999.    276.05    11.24      6.92      1.06       1159.7    891.42    248.65     0.59     188.68      7.00 1  -9999.  -9999.   -76.8739    39.0624  -9999.  -9999.  -9999.
 177.81  -9999.    276.02    11.58      6.95      1.06       1165.3    890.72    248.97     0.61     188.64      7.03 1  -9999.  -9999.   -76.8738    39.0624  -9999.  -9999.  -9999.
 178.81  -9999.    276.01    11.71      6.97      1.06       1171.0    890.04    249.08     0.61     188.61      7.05 1  -9999.  -9999.   -76.8738    39.0625  -9999.  -9999.  -9999.
 179.81  -9999.    275.98    12.11      6.99      1.06       1176.4    889.35    249.43     0.63     188.61      7.07 1  -9999.  -9999.   -76.8738    39.0626  -9999.  -9999.  -9999.
 180.81  -9999.    275.96    13.11      7.01      1.06       1183.3    888.66    250.32     0.69     188.63      7.09 1  -9999.  -9999.   -76.8738    39.0626  -9999.  -9999.  -9999.
 181.81  -9999.    275.96    14.10      7.02      1.07       1190.3    887.97    251.14     0.74     188.67      7.10 1  -9999.  -9999.   -76.8738    39.0627  -9999.  -9999.  -9999.
 182.81  -9999.    275.96    14.14      7.02      1.08       1196.3    887.27    251.17     0.74     188.72      7.10 1  -9999.  -9999.   -76.8738    39.0627  -9999.  -9999.  -9999.
 183.81  -9999.    275.94    13.81      7.02      1.08       1202.6    886.58    250.88     0.72     188.78      7.10 1  -9999.  -9999.   -76.8738    39.0628  -9999.  -9999.  -9999.
 184.81  -9999.    275.91    13.72      7.01      1.09       1209.8    885.89    250.79     0.72     188.86      7.09 1  -9999.  -9999.   -76.8738    39.0628  -9999.  -9999.  -9999.
 185.81  -9999.    275.89    13.94      6.99      1.10       1215.3    885.21    250.96     0.73     188.95      7.08 1  -9999.  -9999.   -76.8738    39.0629  -9999.  -9999.  -9999.
 186.81  -9999.    275.86    14.55      6.97      1.11       1220.9    884.52    251.42     0.76     189.06      7.06 1  -9999.  -9999.   -76.8738    39.0629  -9999.  -9999.  -9999.
 187.81  -9999.    275.82    15.42      6.94      1.12       1227.4    883.84    252.06     0.80     189.19      7.03 1  -9999.  -9999.   -76.8737    39.0630  -9999.  -9999.  -9999.
 188.81  -9999.    275.78    16.09      6.90      1.13       1234.7    883.16    252.51     0.84     189.33      6.99 1  -9999.  -9999.   -76.8737    39.0631  -9999.  -9999.  -9999.
 189.81  -9999.    275.76    15.82      6.85      1.15       1240.0    882.48    252.30     0.82     189.50      6.95 1  -9999.  -9999.   -76.8737    39.0632  -9999.  -9999.  -9999.
 190.81  -9999.    275.75    14.84      6.80      1.16       1245.9    881.80    251.55     0.77     189.69      6.90 1  -9999.  -9999.   -76.8736    39.0633  -9999.  -9999.  -9999.
 191.81  -9999.    275.74    14.06      6.74      1.18       1251.9    881.11    250.93     0.73     189.90      6.84 1  -9999.  -9999.   -76.8736    39.0633  -9999.  -9999.  -9999.
 192.81  -9999.    275.72    13.97      6.67      1.19       1258.6    880.42    250.84     0.73     190.14      6.78 1  -9999.  -9999.   -76.8736    39.0634  -9999.  -9999.  -9999.
 193.81  -9999.    275.71    14.38      6.59      1.21       1264.8    879.73    251.17     0.75     190.39      6.70 1  -9999.  -9999.   -76.8736    39.0635  -9999.  -9999.  -9999.
 194.81  -9999.    275.70    15.54      6.51      1.23       1272.0    879.03    252.04     0.81     190.67      6.62 1  -9999.  -9999.   -76.8737    39.0635  -9999.  -9999.  -9999.
 195.81  -9999.    275.67    17.30      6.41      1.24       1278.8    878.34    253.26     0.90     190.96      6.53 1  -9999.  -9999.   -76.8737    39.0636  -9999.  -9999.  -9999.
 196.81  -9999.    275.64    19.23      6.31      1.26       1285.4    877.66    254.47     1.00     191.28      6.43 1  -9999.  -9999.   -76.8736    39.0636  -9999.  -9999.  -9999.
 197.81  -9999.    275.61    20.80      6.20      1.28       1291.2    876.99    255.37     1.08     191.64      6.33 1  -9999.  -9999.   -76.8736    39.0637  -9999.  -9999.  -9999.
 198.81  -9999.    275.58    21.80      6.08      1.30       1295.8    876.31    255.90     1.13     192.03      6.21 1  -9999.  -9999.   -76.8736    39.0637  -9999.  -9999.  -9999.
 199.81  -9999.    275.54    22.41      5.95      1.32       1302.0    875.65    256.19     1.16     192.46      6.10 1  -9999.  -9999.   -76.8735    39.0638  -9999.  -9999.  -9999.
 200.81  -9999.    275.49    22.81      5.82      1.34       1309.1    874.97    256.36     1.17     192.95      5.97 1  -9999.  -9999.   -76.8735    39.0639  -9999.  -9999.  -9999.
 201.81  -9999.    275.44    23.10      5.68      1.36       1314.8    874.30    256.47     1.19     193.48      5.85 1  -9999.  -9999.   -76.8735    39.0639  -9999.  -9999.  -9999.
 202.81  -9999.    275.39    23.22      5.54      1.39       1321.8    873.62    256.49     1.19     194.05      5.71 1  -9999.  -9999.   -76.8734    39.0640  -9999.  -9999.  -9999.
 203.81  -9999.    275.33    23.21      5.40      1.41       1328.6    872.95    256.44     1.18     194.69      5.58 1  -9999.  -9999.   -76.8734    39.0641  -9999.  -9999.  -9999.
 204.81  -9999.    275.29    23.17      5.25      1.44       1333.8    872.28    256.38     1.18     195.37      5.44 1  -9999.  -9999.   -76.8734    39.0641  -9999.  -9999.  -9999.
 205.81  -9999.    275.26    23.22      5.09      1.47       1339.7    871.61    256.38     1.18     196.12      5.30 1  -9999.  -9999.   -76.8734    39.0642  -9999.  -9999.  -9999.
 206.81  -9999.    275.22    23.40      4.94      1.50       1346.5    870.94    256.44     1.19     196.93      5.16 1  -9999.  -9999.   -76.8734    39.0642  -9999.  -9999.  -9999.
 207.81  -9999.    275.18    23.68      4.79      1.54       1353.5    870.28    256.55     1.20     197.80      5.03 1  -9999.  -9999.   -76.8734    39.0642  -9999.  -9999.  -9999.
 208.81  -9999.    275.15    23.98      4.63      1.57       1358.9    869.63    256.68     1.21     198.73      4.89 1  -9999.  -9999.   -76.8734    39.0643  -9999.  -9999.  -9999.
 209.81  -9999.    275.14    24.22      4.48      1.61       1364.3    868.98    256.78     1.22     199.74      4.76 1  -9999.  -9999.   -76.8734    39.0643  -9999.  -9999.  -9999.
 210.81  -9999.    275.12    24.35      4.34      1.65       1369.8    868.33    256.83     1.23     200.81      4.64 1  -9999.  -9999.   -76.8734    39.0643  -9999.  -9999.  -9999.
 211.81  -9999.    275.11    24.52      4.19      1.69       1375.8    867.68    256.90     1.24     201.95      4.52 1  -9999.  -9999.   -76.8734    39.0644  -9999.  -9999.  -9999.
 212.81  -9999.    275.15    24.65      4.05      1.73       1382.0    867.02    257.00     1.25     203.16      4.41 1  -9999.  -9999.   -76.8733    39.0644  -9999.  -9999.  -9999.
 213.81  -9999.    275.21    24.23      3.92      1.78       1389.4    866.36    256.85     1.23     204.43      4.31 1  -9999.  -9999.   -76.8733    39.0644  -9999.  -9999.  -9999.
 214.81  -9999.    275.22    22.97      3.80      1.83       1395.8    865.69    256.22     1.17     205.74      4.22 1  -9999.  -9999.   -76.8733    39.0645  -9999.  -9999.  -9999.
 215.81  -9999.    275.24    20.88      3.68      1.88       1401.3    865.03    255.10     1.07     207.08      4.13 1  -9999.  -9999.   -76.8732    39.0645  -9999.  -9999.  -9999.
 216.81  -9999.    275.24    18.66      3.57      1.93       1406.6    864.36    253.78     0.96     208.44      4.06 1  -9999.  -9999.   -76.8732    39.0645  -9999.  -9999.  -9999.
 217.81  -9999.    275.23    16.81      3.47      1.99       1413.1    863.70    252.56     0.86     209.79      4.00 1  -9999.  -9999.   -76.8732    39.0645  -9999.  -9999.  -9999.
 218.81  -9999.    275.23    15.28      3.38      2.04       1420.1    863.03    251.47     0.78     211.12      3.94 1  -9999.  -9999.   -76.8732    39.0646  -9999.  -9999.  -9999.
 219.81  -9999.    275.27    14.17      3.29      2.09       1426.9    862.36    250.64     0.73     212.41      3.90 1  -9999.  -9999.   -76.8732    39.0646  -9999.  -9999.  -9999.
 220.81  -9999.    275.30    14.03      3.22      2.14       1432.1    861.69    250.55     0.72     213.65      3.87 1  -9999.  -9999.   -76.8732    39.0646  -9999.  -9999.  -9999.
 221.81  -9999.    275.29    14.31      3.16      2.20       1438.0    861.02    250.77     0.74     214.82      3.85 1  -9999.  -9999.   -76.8731    39.0647  -9999.  -9999.  -9999.
 222.81  -9999.    275.28    14.30      3.11      2.25       1444.9    860.34    250.75     0.74     215.93      3.84 1  -9999.  -9999.   -76.8731    39.0647  -9999.  -9999.  -9999.
 223.81  -9999.    275.28    13.82      3.07      2.31       1451.4    859.67    250.36     0.71     216.94      3.84 1  -9999.  -9999.   -76.8731    39.0647  -9999.  -9999.  -9999.
 224.81  -9999.    275.28    13.20      3.04      2.36       1458.1    859.00    249.84     0.68     217.86      3.85 1  -9999.  -9999.   -76.8730    39.0647  -9999.  -9999.  -9999.
 225.81  -9999.    275.27    12.85      3.02      2.42       1464.5    858.34    249.53     0.66     218.68      3.87 1  -9999.  -9999.   -76.8730    39.0647  -9999.  -9999.  -9999.
 226.81  -9999.    275.25    12.48      3.01      2.47       1470.0    857.68    249.19     0.64     219.39      3.89 1  -9999.  -9999.   -76.8730    39.0648  -9999.  -9999.  -9999.
 227.81  -9999.    275.25    11.92      3.01      2.52       1476.6    857.02    248.68     0.62     219.98      3.92 1  -9999.  -9999.   -76.8729    39.0648  -9999.  -9999.  -9999.
 228.81  -9999.    275.25    11.90      3.01      2.57       1482.2    856.36    248.66     0.61     220.47      3.96 1  -9999.  -9999.   -76.8729    39.0648  -9999.  -9999.  -9999.
 229.81  -9999.    275.24    12.47      3.02      2.61       1487.4    855.70    249.18     0.64     220.85      4.00 1  -9999.  -9999.   -76.8729    39.0648  -9999.  -9999.  -9999.
 230.81  -9999.    275.23    12.96      3.04      2.65       1493.6    855.03    249.59     0.67     221.13      4.04 1  -9999.  -9999.   -76.8729    39.0648  -9999.  -9999.  -9999.
 231.81  -9999.    275.18    13.16      3.06      2.69       1502.3    854.36    249.72     0.68     221.33      4.08 1  -9999.  -9999.   -76.8728    39.0648  -9999.  -9999.  -9999.
 232.81  -9999.    275.14    13.44      3.09      2.73       1508.2    853.69    249.93     0.69     221.45      4.13 1  -9999.  -9999.   -76.8728    39.0649  -9999.  -9999.  -9999.
 233.81  -9999.    275.11    14.38      3.13      2.76       1513.8    853.01    250.68     0.74     221.49      4.17 1  -9999.  -9999.   -76.8728    39.0649  -9999.  -9999.  -9999.
 234.81  -9999.    275.06    16.19      3.16      2.80       1520.5    852.34    251.99     0.83     221.47      4.22 1  -9999.  -9999.   -76.8727    39.0650  -9999.  -9999.  -9999.
 235.81  -9999.    275.02    18.50      3.21      2.82       1527.0    851.68    253.50     0.95     221.37      4.27 1  -9999.  -9999.   -76.8727    39.0650  -9999.  -9999.  -9999.
 236.81  -9999.    275.02    21.19      3.25      2.85       1532.5    851.02    255.09     1.08     221.23      4.32 1  -9999.  -9999.   -76.8726    39.0650  -9999.  -9999.  -9999.
 237.81  -9999.    275.02    23.08      3.30      2.87       1538.7    850.36    256.11     1.18     221.03      4.37 1  -9999.  -9999.   -76.8726    39.0651  -9999.  -9999.  -9999.
 238.81  -9999.    275.01    24.29      3.34      2.88       1546.4    849.71    256.70     1.24     220.79      4.41 1  -9999.  -9999.   -76.8726    39.0651  -9999.  -9999.  -9999.
 239.81  -9999.    275.00    25.51      3.39      2.89       1552.2    849.06    257.29     1.31     220.52      4.45 1  -9999.  -9999.   -76.8725    39.0651  -9999.  -9999.  -9999.
 240.81  -9999.    275.01    26.44      3.43      2.90       1557.2    848.42    257.73     1.36     220.21      4.49 1  -9999.  -9999.   -76.8725    39.0651  -9999.  -9999.  -9999.
 241.81  -9999.    275.05    26.97      3.47      2.90       1563.4    847.78    258.00     1.39     219.88      4.52 1  -9999.  -9999.   -76.8725    39.0652  -9999.  -9999.  -9999.
 242.81  -9999.    275.11    27.88      3.51      2.90       1568.8    847.14    258.46     1.44     219.54      4.55 1  -9999.  -9999.   -76.8724    39.0652  -9999.  -9999.  -9999.
 243.81  -9999.    275.17    29.08      3.55      2.89       1575.4    846.49    259.03     1.51     219.17      4.58 1  -9999.  -9999.   -76.8724    39.0652  -9999.  -9999.  -9999.
 244.81  -9999.    275.23    30.00      3.59      2.89       1581.5    845.84    259.46     1.57     218.79      4.61 1  -9999.  -9999.   -76.8724    39.0653  -9999.  -9999.  -9999.
 245.81  -9999.    275.27    30.24      3.63      2.88       1588.2    845.17    259.59     1.59     218.41      4.63 1  -9999.  -9999.   -76.8723    39.0653  -9999.  -9999.  -9999.
 246.81  -9999.    275.29    29.81      3.66      2.86       1594.4    844.50    259.43     1.57     218.02      4.65 1  -9999.  -9999.   -76.8723    39.0653  -9999.  -9999.  -9999.
