Generated by Rfunction:  Get.mw41.edt.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   R3340183
RS_freq:        403
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2020-01-23 06:46:41
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
  74.81  -9999.    272.18    46.92      2.74     -0.30        509.1    966.47    262.26     1.72     173.82      2.76 1  -9999.  -9999.   -76.8748    39.0583  -9999.  -9999.  -9999.
  75.81  -9999.    272.14    46.85      2.76     -0.31        514.3    965.73    262.22     1.72     173.63      2.77 1  -9999.  -9999.   -76.8748    39.0583  -9999.  -9999.  -9999.
  76.81  -9999.    272.12    46.88      2.77     -0.32        519.4    964.99    262.20     1.72     173.50      2.79 1  -9999.  -9999.   -76.8748    39.0584  -9999.  -9999.  -9999.
  77.81  -9999.    272.08    47.11      2.79     -0.32        525.9    964.25    262.23     1.72     173.44      2.81 1  -9999.  -9999.   -76.8748    39.0584  -9999.  -9999.  -9999.
  78.81  -9999.    272.04    47.43      2.81     -0.32        532.4    963.51    262.27     1.73     173.47      2.83 1  -9999.  -9999.   -76.8748    39.0584  -9999.  -9999.  -9999.
  79.81  -9999.    272.00    47.58      2.83     -0.32        539.3    962.76    262.28     1.73     173.58      2.85 1  -9999.  -9999.   -76.8748    39.0584  -9999.  -9999.  -9999.
  80.81  -9999.    271.96    47.44      2.85     -0.31        545.7    962.02    262.20     1.72     173.80      2.87 1  -9999.  -9999.   -76.8748    39.0584  -9999.  -9999.  -9999.
  81.81  -9999.    271.90    47.17      2.87     -0.30        551.6    961.28    262.08     1.71     174.10      2.89 1  -9999.  -9999.   -76.8748    39.0584  -9999.  -9999.  -9999.
  82.81  -9999.    271.87    46.86      2.89     -0.28        557.4    960.54    261.97     1.69     174.50      2.91 1  -9999.  -9999.   -76.8748    39.0585  -9999.  -9999.  -9999.
  83.81  -9999.    271.86    46.50      2.91     -0.26        562.5    959.80    261.86     1.68     174.98      2.93 1  -9999.  -9999.   -76.8748    39.0585  -9999.  -9999.  -9999.
  84.81  -9999.    271.84    46.54      2.93     -0.23        569.4    959.06    261.85     1.68     175.55      2.94 1  -9999.  -9999.   -76.8748    39.0585  -9999.  -9999.  -9999.
  85.81  -9999.    271.82    46.86      2.96     -0.20        575.9    958.32    261.92     1.69     176.19      2.96 1  -9999.  -9999.   -76.8748    39.0585  -9999.  -9999.  -9999.
  86.81  -9999.    271.82    47.24      2.98     -0.16        581.6    957.57    262.02     1.70     176.89      2.98 1  -9999.  -9999.   -76.8749    39.0586  -9999.  -9999.  -9999.
  87.81  -9999.    271.81    47.52      3.00     -0.12        588.5    956.82    262.09     1.72     177.63      3.00 1  -9999.  -9999.   -76.8749    39.0586  -9999.  -9999.  -9999.
  88.81  -9999.    271.83    47.69      3.02     -0.08        594.5    956.06    262.15     1.72     178.43      3.02 1  -9999.  -9999.   -76.8749    39.0586  -9999.  -9999.  -9999.
  89.81  -9999.    271.84    48.05      3.03     -0.04        600.2    955.30    262.25     1.74     179.28      3.03 1  -9999.  -9999.   -76.8749    39.0587  -9999.  -9999.  -9999.
  90.81  -9999.    271.86    48.28      3.05      0.01        606.5    954.52    262.33     1.75     180.17      3.05 1  -9999.  -9999.   -76.8749    39.0587  -9999.  -9999.  -9999.
  91.81  -9999.    271.88    47.88      3.06      0.06        612.7    953.74    262.25     1.74     181.11      3.06 1  -9999.  -9999.   -76.8749    39.0587  -9999.  -9999.  -9999.
  92.81  -9999.    271.91    46.87      3.08      0.11        621.2    952.95    262.00     1.71     182.09      3.08 1  -9999.  -9999.   -76.8749    39.0587  -9999.  -9999.  -9999.
  93.81  -9999.    271.96    45.53      3.09      0.17        626.8    952.15    261.69     1.67     183.08      3.09 1  -9999.  -9999.   -76.8749    39.0588  -9999.  -9999.  -9999.
  94.81  -9999.    272.08    43.84      3.10      0.22        634.6    951.35    261.32     1.62     184.08      3.10 1  -9999.  -9999.   -76.8749    39.0588  -9999.  -9999.  -9999.
  95.81  -9999.    272.22    41.36      3.10      0.28        640.8    950.56    260.73     1.55     185.08      3.12 1  -9999.  -9999.   -76.8749    39.0588  -9999.  -9999.  -9999.
  96.81  -9999.    272.31    39.00      3.11      0.33        647.4    949.78    260.08     1.47     186.06      3.13 1  -9999.  -9999.   -76.8749    39.0589  -9999.  -9999.  -9999.
  97.81  -9999.    272.36    37.33      3.12      0.38        654.0    949.00    259.59     1.41     187.00      3.14 1  -9999.  -9999.   -76.8749    39.0589  -9999.  -9999.  -9999.
  98.81  -9999.    272.41    35.89      3.13      0.43        659.6    948.22    259.15     1.37     187.90      3.16 1  -9999.  -9999.   -76.8748    39.0590  -9999.  -9999.  -9999.
